time_ms,raw,filtered
2.092000000000000000e+04,-1.150740000000000000e+06,-1.153761250000000000e+06
2.093100000000000000e+04,-1.156370000000000000e+06,-1.154022120000000112e+06
2.094300000000000000e+04,-1.157151000000000000e+06,-1.154335000000000000e+06
2.095400000000000000e+04,-1.151091000000000000e+06,-1.154010620000000112e+06
2.096500000000000000e+04,-1.155379000000000000e+06,-1.154147500000000000e+06
2.097700000000000000e+04,-1.157345000000000000e+06,-1.154467250000000000e+06
2.098800000000000000e+04,-1.151704000000000000e+06,-1.154190879999999888e+06
2.099900000000000000e+04,-1.155479000000000000e+06,-1.154319620000000112e+06
2.101000000000000000e+04,-1.158470000000000000e+06,-1.154734620000000112e+06
2.102200000000000000e+04,-1.152216000000000000e+06,-1.154482750000000000e+06
2.103300000000000000e+04,-1.154657000000000000e+06,-1.154500120000000112e+06
2.104400000000000000e+04,-1.158824000000000000e+06,-1.154932500000000000e+06
2.105600000000000000e+04,-1.152923000000000000e+06,-1.154731500000000000e+06
2.106700000000000000e+04,-1.154260000000000000e+06,-1.154684250000000000e+06
2.107800000000000000e+04,-1.159379000000000000e+06,-1.155153750000000000e+06
2.109000000000000000e+04,-1.153822000000000000e+06,-1.155020620000000112e+06
2.110100000000000000e+04,-1.153224000000000000e+06,-1.154841000000000000e+06
2.111200000000000000e+04,-1.158939000000000000e+06,-1.155250750000000000e+06
2.112400000000000000e+04,-1.154194000000000000e+06,-1.155145000000000000e+06
2.113500000000000000e+04,-1.152604000000000000e+06,-1.154890879999999888e+06
2.114600000000000000e+04,-1.158483000000000000e+06,-1.155250000000000000e+06
2.115700000000000000e+04,-1.155263000000000000e+06,-1.155251250000000000e+06
2.116900000000000000e+04,-1.152600000000000000e+06,-1.154986120000000112e+06
2.118000000000000000e+04,-1.158782000000000000e+06,-1.155365750000000000e+06
2.119100000000000000e+04,-1.156266000000000000e+06,-1.155455750000000000e+06
2.120300000000000000e+04,-1.152439000000000000e+06,-1.155154000000000000e+06
2.121400000000000000e+04,-1.158540000000000000e+06,-1.155492500000000000e+06
2.122500000000000000e+04,-1.157074000000000000e+06,-1.155650620000000112e+06
2.123700000000000000e+04,-1.152411000000000000e+06,-1.155326620000000112e+06
2.124800000000000000e+04,-1.156459000000000000e+06,-1.155439879999999888e+06
2.125900000000000000e+04,-1.151885000000000000e+06,-1.155084379999999888e+06
2.127100000000000000e+04,-1.157760000000000000e+06,-1.155352000000000000e+06
2.128200000000000000e+04,-1.157139000000000000e+06,-1.155530620000000112e+06
2.129300000000000000e+04,-1.156842000000000000e+06,-1.155661750000000000e+06
2.130500000000000000e+04,-1.154298000000000000e+06,-1.155525379999999888e+06
2.131600000000000000e+04,-1.155794000000000000e+06,-1.155552250000000000e+06
2.132700000000000000e+04,-1.156533000000000000e+06,-1.155650250000000000e+06
2.133800000000000000e+04,-1.154855000000000000e+06,-1.155570750000000000e+06
2.135000000000000000e+04,-1.155785000000000000e+06,-1.155592120000000112e+06
2.136100000000000000e+04,-1.156929000000000000e+06,-1.155725750000000000e+06
2.137200000000000000e+04,-1.155520000000000000e+06,-1.155705120000000112e+06
2.138400000000000000e+04,-1.155968000000000000e+06,-1.155731379999999888e+06
2.139500000000000000e+04,-1.157123000000000000e+06,-1.155870500000000000e+06
2.140600000000000000e+04,-1.155163000000000000e+06,-1.155799750000000000e+06
2.141800000000000000e+04,-1.155070000000000000e+06,-1.155726750000000000e+06
2.142900000000000000e+04,-1.156604000000000000e+06,-1.155814500000000000e+06
2.144000000000000000e+04,-1.155135000000000000e+06,-1.155746500000000000e+06
2.145200000000000000e+04,-1.155167000000000000e+06,-1.155688500000000000e+06
2.146300000000000000e+04,-1.156924000000000000e+06,-1.155812000000000000e+06
2.147400000000000000e+04,-1.154800000000000000e+06,-1.155710750000000000e+06
2.148500000000000000e+04,-1.154653000000000000e+06,-1.155604879999999888e+06
2.149700000000000000e+04,-1.156903000000000000e+06,-1.155734620000000112e+06
2.150800000000000000e+04,-1.156127000000000000e+06,-1.155773879999999888e+06
